City,State,County
League City,tx,galveston
Downey,ca,los angeles
Gresham,or,multnomah
High Point,nc,guilford
High Point,nc,forsyth
High Point,nc,davidson
High Point,nc,randolph
Broken Arrow,ok,wagoner
Broken Arrow,ok,tulsa
Peoria,il,peoria
Lansing,mi,ingham
Lansing,mi,eaton
Lakeland,fl,polk
Pompano Beach,fl,broward
Costa Mesa,ca,orange
Pueblo,co,pueblo
Lewisville,tx,denton
Lewisville,tx,dallas
Miami Gardens,fl,miami-dade
Las Cruces,nm,doña ana
Sugar Land,tx,fort bend
Murrieta,ca,riverside
Ventura,ca,ventura
Everett,wa,snohomish
Temecula,ca,riverside
Dearborn,mi,wayne
Santa Maria,ca,santa barbara
West Covina,ca,los angeles
El Monte,ca,los angeles
Greeley,co,weld
Sparks,nv,washoe
Centennial,co,arapahoe
Boulder,co,boulder
Sandy Springs,ga,fulton
Inglewood,ca,los angeles
Edison,nj,middlesex
South Fulton,ga,fulton
Green Bay,wi,brown
Burbank,ca,los angeles
Renton,wa,king
Hillsboro,or,washington
El Cajon,ca,san diego
Tyler,tx,smith
Davie,fl,broward
San Mateo,ca,san mateo
Brockton,ma,plymouth
Concord,nc,cabarrus
Jurupa Valley,ca,riverside
Daly City,ca,san mateo
Allen,tx,collin
Rio Rancho,nm,bernalillo
Rio Rancho,nm,sandoval
Rialto,ca,san bernardino
Woodbridge,nj,middlesex
South Bend,in,st. joseph
Spokane Valley,wa,spokane
Norwalk,ca,los angeles
Menifee,ca,riverside
Vacaville,ca,solano
Wichita Falls,tx,wichita
Davenport,ia,scott
Quincy,ma,norfolk
Chico,ca,butte
Lynn,ma,essex
Lees Summit,mo,jackson
Lees Summit,mo,cass
New Bedford,ma,bristol
Federal Way,wa,king
Clinton,mi,macomb
Edinburg,tx,hidalgo
Nampa,id,canyon
Roanoke,va,roanoke
Kenosha,wi,kenosha
San Angelo,tx,tom green
Hesperia,ca,san bernardino
Carmel,in,hamilton
Tuscaloosa,al,tuscaloosa
Albany,ny,albany
Bend,or,deschutes
Fishers,in,hamilton
Longmont,co,weld
Longmont,co,boulder
Canton,mi,wayne
Vista,ca,san diego
Orem,ut,utah
Portsmouth,va,portsmouth
Beaverton,or,washington
Boca Raton,fl,palm beach
Sunrise,fl,broward
Yakima,wa,yakima
Sandy,ut,salt lake
Compton,ca,los angeles
Carson,ca,los angeles
Yuma,az,yuma
Livonia,mi,wayne
Toms River,nj,ocean
St George,ut,washington
Goodyear,az,maricopa
Reading,pa,berks
Lawrence,ks,douglas
San Marcos,ca,san diego
Erie,pa,erie
Asheville,nc,buncombe
Edmond,ok,oklahoma
Suffolk,va,suffolk
Fall River,ma,bristol
Fayetteville,ar,washington
Deltona,fl,volusia
Mission Viejo,ca,orange
Redding,ca,shasta
Santa Monica,ca,los angeles
Tracy,ca,san joaquin
Roswell,ga,fulton
South Gate,ca,los angeles
Hoover,al,shelby
Hoover,al,jefferson
Hamilton,nj,mercer
Kirkland,wa,king
Plantation,fl,broward
Buckeye,az,maricopa
Bellingham,wa,whatcom
Chino,ca,san bernardino
Nashua,nh,hillsborough
OFallon,mo,st. charles
Norwalk,ct,fairfield
San Leandro,ca,alameda
Westminster,ca,orange
Trenton,nj,mercer
Mount Pleasant,sc,charleston
New Braunfels,tx,comal
New Braunfels,tx,guadalupe
Lawton,ok,comanche
Clifton,nj,passaic
Bloomington,mn,hennepin
Conroe,tx,montgomery
Hemet,ca,riverside
Avondale,az,maricopa
Waukegan,il,lake
Palm Coast,fl,flagler
Lawrence,ma,essex
Fort Smith,ar,sebastian
Indio,ca,riverside
Newton,ma,middlesex
Santa Barbara,ca,santa barbara
Champaign,il,champaign
Hawthorne,ca,los angeles
Livermore,ca,alameda
Citrus Heights,ca,sacramento
Greenville,nc,pitt
Santa Fe,nm,santa fe
Ogden,ut,weber
Whittier,ca,los angeles
Troy,mi,oakland
Auburn,wa,king
Auburn,wa,pierce
Deerfield Beach,fl,broward
Duluth,mn,st. louis
Danbury,ct,fairfield
Brooklyn Park,mn,hennepin
Fort Myers,fl,lee
Merced,ca,merced
Lake Forest,ca,orange
Medford,or,jackson
Sioux City,ia,woodbury
Mission,tx,hidalgo
Westland,mi,wayne
Cicero,il,cook
Newport Beach,ca,orange
Lake Charles,la,calcasieu
Melbourne,fl,brevard
San Ramon,ca,contra costa
Redwood City,ca,san mateo
Springdale,ar,benton
Springdale,ar,washington
Buena Park,ca,orange
Farmington Hills,mi,oakland
Bryan,tx,brazos
Kennewick,wa,benton
Baytown,tx,harris
Baytown,tx,chambers
Manteca,ca,san joaquin
Franklin,tn,williamson
Cranston,ri,providence
Miami Beach,fl,miami-dade
Alhambra,ca,los angeles
Warwick,ri,kent
Lakewood,ca,los angeles
Largo,fl,pinellas
Johns Creek,ga,fulton
Mountain View,ca,santa clara
Temple,tx,bell
Layton,ut,davis
Longview,tx,gregg
Longview,tx,harrison
Flint,mi,genesee
Parma,oh,cuyahoga
Somerville,ma,middlesex
Plymouth,mn,hennepin
Homestead,fl,miami-dade
Folsom,ca,sacramento
Gastonia,nc,gaston
Boynton Beach,fl,palm beach
Warner Robins,ga,houston
Warner Robins,ga,peach
Tustin,ca,orange
Milpitas,ca,santa clara
Pleasanton,ca,alameda
New Rochelle,ny,westchester
Pharr,tx,hidalgo
Shelby,mi,macomb
Rancho Cordova,ca,sacramento
Napa,ca,napa
Kissimmee,fl,osceola
Bellflower,ca,los angeles
Bloomington,in,monroe
Upland,ca,san bernardino
Lynchburg,va,lynchburg
Schaumburg,il,cook
Schaumburg,il,dupage
Perris,ca,riverside
Bloomington,il,mclean
Jonesboro,ar,craighead
Chino Hills,ca,san bernardino
Alameda,ca,alameda
Frederick,md,frederick
Evanston,il,cook
Hammond,in,lake
Racine,wi,racine
Arlington Heights,il,lake
Arlington Heights,il,cook
Cedar Park,tx,williamson
Cedar Park,tx,travis
South Jordan,ut,salt lake
Pasco,wa,franklin
Flagstaff,az,coconino
Southfield,mi,oakland
Wyoming,mi,kent
Pittsburg,ca,contra costa
Loveland,co,larimer
Scranton,pa,lackawanna
Rochester Hills,mi,oakland
Auburn,al,lee
Flower Mound,tx,denton
Flower Mound,tx,tarrant
Lehi,ut,utah
Doral,fl,miami-dade
Apple Valley,ca,san bernardino
Bethlehem,pa,lehigh
Bethlehem,pa,northampton
Appleton,wi,winnebago
Appleton,wi,outagamie
Appleton,wi,calumet
Pawtucket,ri,providence
Woodbury,mn,washington
Iowa City,ia,johnson
North Port,fl,sarasota
Rapid City,sd,pennington
Cherry Hill,nj,camden
Lauderhill,fl,broward
Rock Hill,sc,york
Missouri City,tx,harris
Missouri City,tx,fort bend
New Britain,ct,hartford
Broomfield,co,broomfield
Bolingbrook,il,dupage
Bolingbrook,il,will
Mount Vernon,ny,westchester
Bismarck,nd,burleigh
Brick,nj,ocean
Kalamazoo,mi,kalamazoo
Missoula,mt,missoula
Redmond,wa,king
Redlands,ca,san bernardino
Castle Rock,co,douglas
Gulfport,ms,harrison
Turlock,ca,stanislaus
Jacksonville,nc,onslow
Daytona Beach,fl,volusia
Mansfield,tx,johnson
Mansfield,tx,tarrant
Mansfield,tx,ellis
Dublin,ca,alameda
St Joseph,mo,buchanan
Framingham,ma,middlesex
Bowling Green,ky,warren
Baldwin Park,ca,los angeles
Tamarac,fl,broward
Harlingen,tx,cameron
Camden,nj,camden
Bayonne,nj,hudson
Rocklin,ca,placer
Redondo Beach,ca,los angeles
Waukesha,wi,waukesha
Dothan,al,dale
Dothan,al,henry
Dothan,al,houston
Johnson City,tn,sullivan
Johnson City,tn,washington
Johnson City,tn,carter
Wilmington,de,new castle
Canton,oh,stark
Lafayette,in,tippecanoe
Camarillo,ca,ventura
Greenville,sc,greenville
Marysville,wa,snohomish
Waterford,mi,oakland
Passaic,nj,passaic
Decatur,il,macon
St Charles,mo,st. charles
Lake Elsinore,ca,riverside
Maple Grove,mn,hennepin
Blaine,mn,ramsey
Blaine,mn,anoka
Union City,ca,alameda
Walnut Creek,ca,contra costa
Yuba City,ca,sutter
North Richland Hills,tx,tarrant
Rogers,ar,benton
Eastvale,ca,riverside
Gaithersburg,md,montgomery
Albany,ga,dougherty
East Orange,nj,essex
Noblesville,in,hamilton
Lakeville,mn,dakota
Eau Claire,wi,eau claire
Eau Claire,wi,chippewa
Gary,in,lake
St Cloud,mn,benton
St Cloud,mn,sherburne
St Cloud,mn,stearns
Tulare,ca,tulare
Eagan,mn,dakota
West Des Moines,ia,polk
West Des Moines,ia,warren
West Des Moines,ia,dallas
Union City,nj,hudson
Palo Alto,ca,santa clara
Portland,me,cumberland
Franklin,nj,somerset
Yorba Linda,ca,orange
Jackson,tn,madison
Weston,fl,broward
Palatine,il,cook
Ankeny,ia,polk
Skokie,il,cook
Haverhill,ma,essex
San Marcos,tx,caldwell
San Marcos,tx,guadalupe
San Marcos,tx,hays
Sammamish,wa,king
Waterloo,ia,black hawk
Shawnee,ks,johnson
Lynwood,ca,los angeles
Georgetown,tx,williamson
Rockville,md,montgomery
Middletown,nj,monmouth
Schenectady,ny,schenectady
Old Bridge,nj,middlesex
Davis,ca,yolo
Delray Beach,fl,palm beach
Oshkosh,wi,winnebago
Kenner,la,jefferson
Ames,ia,story
Lodi,ca,san joaquin
Malden,ma,middlesex
Novi,mi,oakland
Madera,ca,madera
South San Francisco,ca,san mateo
Gloucester,nj,camden
West Bloomfield,mi,oakland
Alpharetta,ga,fulton
Janesville,wi,rock
Grand Junction,co,mesa
Victoria,tx,victoria
Utica,ny,oneida
Waltham,ma,middlesex
Lorain,oh,lorain
Muncie,in,delaware
Pflugerville,tx,williamson
Pflugerville,tx,travis
Cheyenne,wy,laramie
Idaho Falls,id,bonneville
North Little Rock,ar,pulaski
Laguna Niguel,ca,orange
Burnsville,mn,dakota
San Clemente,ca,orange
Brentwood,ca,contra costa
Eden Prairie,mn,hennepin
Bellevue,ne,sarpy
Conway,ar,faulkner
West Hartford,ct,hartford
Greenwood,in,johnson
Lakewood,wa,pierce
Coon Rapids,mn,anoka
Ocala,fl,marion
Greenwich,ct,fairfield
Taylor,mi,wayne
Hamilton,oh,butler
Millcreek,ut,salt lake
North Bergen,nj,hudson
Dearborn Heights,mi,wayne
Brookline,ma,norfolk
La Habra,ca,orange
Santa Cruz,ca,santa cruz
Council Bluffs,ia,pottawattamie
Moore,ok,cleveland
Bossier City,la,bossier
Montebello,ca,los angeles
Porterville,ca,tulare
Port Orange,fl,volusia
Rowlett,tx,rockwall
Rowlett,tx,dallas
Commerce City,co,adams
Revere,ma,suffolk
Pico Rivera,ca,los angeles
Encinitas,ca,san diego
Chapel Hill,nc,durham
Chapel Hill,nc,orange
Springfield,or,lane
Hendersonville,tn,sumner
Wellington,fl,palm beach
Pontiac,mi,oakland
Fairfield,ct,fairfield
Huntersville,nc,mecklenburg
San Rafael,ca,marin
Plymouth,ma,plymouth
Irvington,nj,essex
Hamden,ct,new haven
La Mesa,ca,san diego
Monterey Park,ca,los angeles
Sanford,fl,seminole
Jupiter,fl,palm beach
Euless,tx,tarrant
Woodland,ca,yolo
Gardena,ca,los angeles
Marietta,ga,cobb
Meriden,ct,new haven
Bristol,ct,hartford
Piscataway,nj,middlesex
Vineland,nj,cumberland
Des Plaines,il,cook
Richland,wa,benton
Taylorsville,ut,salt lake
Great Falls,mt,cascade
Hoboken,nj,hudson
Cupertino,ca,santa clara
West Allis,wi,milwaukee
North Miami,fl,miami-dade
Owensboro,ky,daviess
Youngstown,oh,mahoning
Youngstown,oh,trumbull
Santee,ca,san diego
Caldwell,id,canyon
Corvallis,or,benton
Petaluma,ca,sonoma
Union,nj,union
Manchester,ct,hartford
Dubuque,ia,dubuque
Medford,ma,middlesex
Kokomo,in,howard
White Plains,ny,westchester
Gilroy,ca,santa clara
Queen Creek,az,maricopa
Queen Creek,az,pinal
Taunton,ma,bristol
Leander,tx,williamson
Leander,tx,travis
Stonecrest,ga,dekalb
Palm Beach Gardens,fl,palm beach
Hempstead,ny,nassau
Grand Forks,nd,grand forks
Casper,wy,natrona
St Cloud,fl,osceola
St Clair Shores,mi,macomb
Apex,nc,wake
Margate,fl,broward
Orland Park,il,cook
Orland Park,il,will
Springfield,oh,clark
Carson City,nv,carson
Shoreline,wa,king
Blue Springs,mo,jackson
Jackson,nj,ocean
Parker,co,douglas
Midwest City,ok,oklahoma
Terre Haute,in,vigo
Oak Lawn,il,cook
Bowie,md,prince george's
Royal Oak,mi,oakland
Maricopa,az,pinal
Lancaster,pa,lancaster
Hanford,ca,kings
Decatur,al,morgan
Decatur,al,limestone
Kettering,oh,greene
Kettering,oh,montgomery
Coconut Creek,fl,broward
Bartlett,tn,shelby
St Peters,mo,st. charles
Wylie,tx,rockwall
Wylie,tx,dallas
Wylie,tx,collin
Weymouth,ma,norfolk
Lenexa,ks,johnson
Burlington,nc,alamance
Burlington,nc,guilford
Berwyn,il,cook
Lake Havasu City,az,mohave
Fountain Valley,ca,orange
Highland,ca,san bernardino
Madison,al,limestone
Madison,al,madison
Mount Prospect,il,cook
Arcadia,ca,los angeles
Albany,or,benton
Albany,or,linn
Apple Valley,mn,dakota
Pocatello,id,bannock
Pocatello,id,power
National City,ca,san diego
Parsippany-Troy Hills,nj,morris
DeSoto,tx,dallas
Port Arthur,tx,jefferson
Port Arthur,tx,orange
Tinley Park,il,cook
Tinley Park,il,will
Bradenton,fl,manatee
Ypsilanti,mi,washtenaw
Smyrna,ga,cobb
Olympia,wa,thurston
West Haven,ct,new haven
Chicopee,ma,hampden
Kingsport,tn,sullivan
Kingsport,tn,hawkins
Perth Amboy,nj,middlesex
Valdosta,ga,lowndes
New Brunswick,nj,middlesex
Brookhaven,ga,dekalb
Herriman,ut,salt lake
Diamond Bar,ca,los angeles
Huntington Park,ca,los angeles
Apopka,fl,orange
Sarasota,fl,sarasota
Wayne,nj,passaic
Anderson,in,madison
Southaven,ms,desoto
Coeur dAlene,id,kootenai
Plainfield,nj,union
Oak Park,il,cook
Yucaipa,ca,san bernardino
Tigard,or,washington
Peabody,ma,essex
Rocky Mount,nc,nash
Rocky Mount,nc,edgecombe
Pensacola,fl,escambia
Kentwood,mi,kent
Bentonville,ar,benton
Manhattan,ks,riley
Manhattan,ks,pottawatomie
Georgetown,mi,ottawa
Wheaton,il,dupage
Elkhart,in,elkhart
West Sacramento,ca,yolo
Colton,ca,san bernardino
San Jacinto,ca,riverside
Minnetonka,mn,hennepin
Paramount,ca,los angeles
Galveston,tx,galveston
Casa Grande,az,pinal
Bonita Springs,fl,lee
Howell,nj,monmouth
Lacey,wa,thurston
Edina,mn,hennepin
Bozeman,mt,gallatin
Novato,ca,marin
Grand Island,ne,hall
Kannapolis,nc,rowan
Kannapolis,nc,cabarrus
Bloomfield,nj,essex
Pinellas Park,fl,pinellas
Smyrna,tn,rutherford
Methuen,ma,essex
Beaumont,ca,riverside
West New York,nj,hudson
Logan,ut,cache
Normal,il,mclean
Battle Creek,mi,calhoun
La Crosse,wi,la crosse
Elyria,oh,lorain
Watsonville,ca,santa cruz
Glendora,ca,los angeles
Florissant,mo,st. louis
Hoffman Estates,il,cook
Hoffman Estates,il,kane
Stratford,ct,fairfield
Aliso Viejo,ca,orange
Burien,wa,king
Marana,az,pima
Marana,az,pinal
Texas City,tx,galveston
Texas City,tx,chambers
Placentia,ca,orange
Harrisonburg,va,harrisonburg
Twin Falls,id,twin falls
Joplin,mo,jasper
Joplin,mo,newton
Dunwoody,ga,dekalb
Cathedral City,ca,riverside
Delano,ca,kern
Troy,ny,rensselaer
Collierville,tn,shelby
Enid,ok,garfield
Covina,ca,los angeles
Rosemead,ca,los angeles
Palm Desert,ca,riverside
Cuyahoga Falls,oh,summit
Mishawaka,in,st. joseph
East Hartford,ct,hartford
Draper,ut,utah
Draper,ut,salt lake
Middletown,oh,butler
Middletown,oh,warren
Lakewood,oh,cuyahoga
East Honolulu,hi,honolulu
Summerville,sc,charleston
Summerville,sc,dorchester
Summerville,sc,berkeley
Murray,ut,salt lake
Grapevine,tx,denton
Grapevine,tx,tarrant
Grapevine,tx,dallas
Milford,ct,new haven
Columbus,in,bartholomew
Downers Grove,il,dupage
Mooresville,nc,iredell
Cypress,ca,orange
Harrisburg,pa,dauphin
St Louis Park,mn,hennepin
Spring Hill,tn,williamson
Spring Hill,tn,maury
Azusa,ca,los angeles
Chesterfield,mo,st. louis
Newark,oh,licking
Sheboygan,wi,sheboygan
Bedford,tx,tarrant
Lincoln,ca,placer
East Brunswick,nj,middlesex
Euclid,oh,cuyahoga
Cerritos,ca,los angeles
Redford,mi,wayne
Biloxi,ms,harrison
Jeffersonville,in,clark
Lawrence,in,marion
Dublin,oh,delaware
Dublin,oh,franklin
Dublin,oh,union
Ceres,ca,stanislaus
Coral Gables,fl,miami-dade
Winter Haven,fl,polk
Cedar Hill,tx,dallas
Cedar Hill,tx,ellis
Everett,ma,middlesex
Barnstable,ma,barnstable
Portage,mi,kalamazoo
Charleston,wv,kanawha
West Orange,nj,essex
Poway,ca,san diego
Titusville,fl,brevard
Hattiesburg,ms,lamar
Hattiesburg,ms,forrest
Glenview,il,cook
Washington,nj,gloucester
Niagara Falls,ny,niagara
Monroe,nj,middlesex
Roswell,nm,chaves
Stillwater,ok,payne
Wauwatosa,wi,milwaukee
Minot,nd,ward
Leesburg,va,loudoun
Bothell,wa,king
Bothell,wa,snohomish
La Mirada,ca,los angeles
Binghamton,ny,broome
Rancho Santa Margarita,ca,orange
Wilson,nc,wilson
Egg Harbor,nj,atlantic
East Lansing,mi,ingham
East Lansing,mi,clinton
Middletown,ct,middlesex
Roseville,mi,macomb
Monroe,la,ouachita
Burleson,tx,johnson
Burleson,tx,tarrant
Wake Forest,nc,wake
Wake Forest,nc,franklin
Mansfield,oh,richland
Newark,ca,alameda
Mentor,oh,lake
Cleveland,tn,bradley
Brea,ca,orange
Fort Pierce,fl,st. lucie
Ocoee,fl,orange
Rockwall,tx,rockwall
East Providence,ri,providence
Oro Valley,az,pima
San Luis Obispo,ca,san luis obispo
South Brunswick,nj,middlesex
Winter Garden,fl,orange
Salina,ks,saline
Huntington,wv,wayne
Huntington,wv,cabell
Evesham,nj,burlington
Prescott Valley,az,yavapai
Farmington,nm,san juan
Charlottesville,va,charlottesville
Beavercreek,oh,greene
Strongsville,oh,cuyahoga
Attleboro,ma,bristol
Little Elm,tx,denton
Westfield,in,hamilton
Arlington,ma,middlesex
Altamonte Springs,fl,seminole
Haltom City,tx,tarrant
Hackensack,nj,bergen
Bridgewater,nj,somerset
Goose Creek,sc,berkeley
Huntsville,tx,walker
Prescott,az,yavapai
Elmhurst,il,cook
Elmhurst,il,dupage
Keller,tx,tarrant
Bountiful,ut,davis
Kyle,tx,hays
Littleton,co,douglas
Littleton,co,jefferson
Littleton,co,arapahoe
Urbandale,ia,polk
Urbandale,ia,dallas
Los Banos,ca,merced
Morgan Hill,ca,santa clara
Cutler Bay,fl,miami-dade
Brentwood,tn,williamson
Sayreville,nj,middlesex
Cleveland Heights,oh,cuyahoga
Sierra Vista,az,cochise
Pearl City,hi,honolulu
Riverton,ut,salt lake
Alexandria,la,rapides
Manchester,nj,ocean
Fairfield,oh,butler
Blacksburg,va,montgomery
York,pa,york
North Lauderdale,fl,broward
Plainfield,il,will
Plainfield,il,kendall
Burlington,vt,chittenden
Fond du Lac,wi,fond du lac
Mount Laurel,nj,burlington
West Lafayette,in,tippecanoe
Palm Springs,ca,riverside
The Colony,tx,denton
