state,month,average_temp
Florida,4,68.97
Florida,5,74.09
Florida,6,78.91
Florida,7,81.87
Florida,8,82.62
Florida,9,81.65555555555555
Florida,10,77.95555555555556
Florida,11,71.0
Florida,12,65.2
Georgia,1,49.53
Georgia,2,49.39
Georgia,3,54.55
Georgia,4,60.57000000000001
Georgia,5,67.63
Georgia,6,74.94
Georgia,7,79.42
Georgia,8,80.11
Georgia,9,77.80000000000001
Georgia,10,71.45555555555556
Georgia,11,61.099999999999994
Georgia,12,53.58888888888889
Idaho,1,25.18
Idaho,2,26.65
Idaho,3,31.860000000000003
Idaho,4,38.85
Idaho,5,46.160000000000004
Idaho,6,55.0
Idaho,7,63.65
Idaho,8,66.96000000000001
Idaho,9,61.111111111111114
Idaho,10,50.52222222222222
Idaho,11,39.111111111111114
Idaho,12,29.233333333333334
Illinois,1,30.310000000000002
Illinois,2,27.580000000000002
Illinois,3,34.64
Illinois,4,46.15
Illinois,5,57.589999999999996
Illinois,6,68.37
Illinois,7,73.99
Illinois,8,74.15
Illinois,9,71.15555555555555
Illinois,10,62.400000000000006
Illinois,11,48.48888888888889
Illinois,12,37.355555555555554
Indiana,1,31.3
Indiana,2,28.85
Indiana,3,35.3
Indiana,4,45.9
Indiana,5,57.15
Indiana,6,67.45
Indiana,7,72.88
Indiana,8,73.28
Indiana,9,70.26666666666667
Indiana,10,61.977777777777774
Indiana,11,48.62222222222223
Indiana,12,37.922222222222224
Iowa,1,23.509999999999998
Iowa,2,20.47
Iowa,3,28.560000000000002
Iowa,4,41.68
Iowa,5,53.55
Iowa,6,65.56
Iowa,7,72.22999999999999
Iowa,8,72.08
Iowa,9,68.43333333333334
Iowa,10,58.55555555555556
Iowa,11,43.91111111111111
Iowa,12,31.799999999999997
Kansas,1,33.279999999999994
Kansas,2,32.239999999999995
Kansas,3,38.92
Kansas,4,49.22
Kansas,5,58.32000000000001
Kansas,6,69.51
Kansas,7,77.17999999999999
Kansas,8,77.65
Kansas,9,73.80000000000001
Kansas,10,63.84444444444445
Kansas,11,50.166666666666664
Kansas,12,39.27777777777778
Kentucky,1,37.489999999999995
Kentucky,2,35.96
Kentucky,3,42.12
Kentucky,4,51.12
Kentucky,5,60.870000000000005
Kentucky,6,69.7
Kentucky,7,74.99
Kentucky,8,75.77000000000001
Kentucky,9,72.69999999999999
Kentucky,10,64.83333333333333
Kentucky,11,52.27777777777778
Kentucky,12,42.93333333333333
Louisiana,1,51.92
Louisiana,2,51.77
Louisiana,3,57.39
Louisiana,4,63.620000000000005
Louisiana,5,70.2
Louisiana,6,77.27000000000001
Louisiana,7,81.53
Louisiana,8,82.31
Louisiana,9,80.56666666666666
Louisiana,10,74.32222222222222
Louisiana,11,63.888888888888886
Louisiana,12,56.166666666666664
Maine,1,19.78
Maine,2,17.27
Maine,3,22.169999999999998
Maine,4,32.739999999999995
Maine,5,45.75
Maine,6,56.52
Maine,7,63.9
Maine,8,66.44
Maine,9,61.98888888888889
Maine,10,52.5
Maine,11,40.099999999999994
Maine,12,28.155555555555555
Maryland,1,36.910000000000004
Maryland,2,35.07
Maryland,3,40.010000000000005
Maryland,4,48.78
Maryland,5,59.129999999999995
Maryland,6,68.3
Maryland,7,74.94
Maryland,8,76.28999999999999
Maryland,9,72.27777777777777
Maryland,10,64.38888888888889
Maryland,11,52.48888888888889
Maryland,12,42.87777777777777
Massachusetts,1,29.839999999999996
Massachusetts,2,27.54
Massachusetts,3,31.74
Massachusetts,4,40.57
Massachusetts,5,51.98
Massachusetts,6,62.0
Massachusetts,7,69.28999999999999
Massachusetts,8,71.65
Massachusetts,9,67.13333333333334
Massachusetts,10,58.34444444444445
Massachusetts,11,46.766666666666666
Massachusetts,12,36.71111111111111
Michigan,1,23.95
Michigan,2,20.21
Michigan,3,25.22
Michigan,4,35.96
Michigan,5,48.440000000000005
Michigan,6,60.07000000000001
Michigan,7,66.99
Michigan,8,68.59
Michigan,9,64.69999999999999
Michigan,10,55.34444444444445
Michigan,11,42.47777777777778
Michigan,12,31.477777777777778
Minnesota,1,13.959999999999999
Minnesota,2,10.709999999999999
Minnesota,3,19.21
Minnesota,4,33.61
Minnesota,5,47.15
Minnesota,6,60.339999999999996
Minnesota,7,67.76
Minnesota,8,68.33
Minnesota,9,63.64444444444444
Minnesota,10,52.78888888888889
Minnesota,11,37.53333333333333
Minnesota,12,23.48888888888889
Mississippi,1,48.160000000000004
Mississippi,2,47.86
Mississippi,3,53.760000000000005
Mississippi,4,60.44
Mississippi,5,67.67999999999999
Mississippi,6,75.42999999999999
Mississippi,7,80.06
Mississippi,8,80.72
Mississippi,9,78.74444444444445
Mississippi,10,72.0
Mississippi,11,60.455555555555556
Mississippi,12,52.333333333333336
Missouri,1,34.230000000000004
Missouri,2,32.239999999999995
Missouri,3,39.18
Missouri,4,49.839999999999996
Missouri,5,59.67999999999999
Missouri,6,69.7
Missouri,7,75.97
Missouri,8,76.3
Missouri,9,72.93333333333334
Missouri,10,64.07777777777778
Missouri,11,50.888888888888886
Missouri,12,40.63333333333334
Montana,1,22.45
Montana,2,21.759999999999998
Montana,3,26.68
Montana,4,36.45
Montana,5,45.410000000000004
Montana,6,55.5
Montana,7,64.03999999999999
Montana,8,66.84
Montana,9,60.77777777777778
Montana,10,49.44444444444444
Montana,11,37.2
Montana,12,26.833333333333332
Nebraska,1,27.1
Nebraska,2,25.910000000000004
Nebraska,3,32.45
Nebraska,4,43.08
Nebraska,5,52.46
Nebraska,6,64.33
Nebraska,7,72.6
Nebraska,8,73.32000000000001
Nebraska,9,69.01111111111112
Nebraska,10,58.17777777777778
Nebraska,11,44.44444444444444
Nebraska,12,33.36666666666667
Nevada,1,32.89
Nevada,2,34.910000000000004
Nevada,3,39.489999999999995
Nevada,4,45.81
Nevada,5,52.44
Nevada,6,62.120000000000005
Nevada,7,71.62
Nevada,8,73.92999999999999
Nevada,9,68.35555555555555
Nevada,10,57.800000000000004
Nevada,11,46.51111111111111
Nevada,12,36.86666666666667
New Hampshire,1,23.22
New Hampshire,2,20.85
New Hampshire,3,25.54
New Hampshire,4,35.5
New Hampshire,5,48.25
New Hampshire,6,58.75
New Hampshire,7,65.63
New Hampshire,8,67.75
New Hampshire,9,63.199999999999996
New Hampshire,10,54.15555555555555
New Hampshire,11,41.84444444444445
New Hampshire,12,30.700000000000003
New Jersey,1,35.05
New Jersey,2,32.910000000000004
New Jersey,3,37.47
New Jersey,4,46.14
New Jersey,5,56.79
New Jersey,6,66.37
New Jersey,7,73.67999999999999
New Jersey,8,75.57000000000001
New Jersey,9,71.24444444444445
New Jersey,10,62.955555555555556
New Jersey,11,51.15555555555555
New Jersey,12,41.5
New Mexico,1,36.3
New Mexico,2,37.6
New Mexico,3,43.29
New Mexico,4,50.239999999999995
New Mexico,5,57.54
New Mexico,6,67.05
New Mexico,7,73.72
New Mexico,8,73.69
New Mexico,9,69.82222222222222
New Mexico,10,61.37777777777777
New Mexico,11,50.37777777777777
New Mexico,12,41.06666666666667
New York,1,25.509999999999998
New York,2,22.45
New York,3,27.27
New York,4,37.22
New York,5,49.980000000000004
New York,6,60.42999999999999
New York,7,66.99
New York,8,68.94
New York,9,64.69999999999999
New York,10,56.13333333333333
New York,11,43.91111111111111
New York,12,33.166666666666664
North Carolina,1,43.47
North Carolina,2,42.730000000000004
North Carolina,3,47.6
North Carolina,4,54.8
North Carolina,5,63.46
North Carolina,6,71.31
North Carolina,7,76.52000000000001
North Carolina,8,77.38
North Carolina,9,74.32222222222222
North Carolina,10,67.27777777777777
North Carolina,11,56.15555555555555
North Carolina,12,48.044444444444444
North Dakota,1,14.190000000000001
North Dakota,2,11.92
North Dakota,3,19.39
North Dakota,4,32.97
North Dakota,5,46.21
North Dakota,6,59.65
North Dakota,7,67.67999999999999
North Dakota,8,68.85
North Dakota,9,63.29999999999999
North Dakota,10,51.18888888888889
North Dakota,11,36.01111111111111
North Dakota,12,22.366666666666667
Ohio,1,31.619999999999997
Ohio,2,29.04
Ohio,3,34.980000000000004
Ohio,4,45.160000000000004
Ohio,5,56.370000000000005
Ohio,6,66.25
Ohio,7,71.91
Ohio,8,72.84
Ohio,9,69.56666666666666
Ohio,10,61.35555555555556
Ohio,11,48.55555555555556
Ohio,12,38.25555555555556
Oklahoma,1,40.260000000000005
Oklahoma,2,39.62
Oklahoma,3,46.07
Oklahoma,4,55.239999999999995
Oklahoma,5,63.52
Oklahoma,6,73.13
Oklahoma,7,79.96000000000001
Oklahoma,8,81.06
Oklahoma,9,77.55555555555556
Oklahoma,10,68.47777777777777
Oklahoma,11,55.75555555555556
Oklahoma,12,45.67777777777778
Oregon,1,33.230000000000004
Oregon,2,34.8
Oregon,3,38.03
Oregon,4,42.93
Oregon,5,48.9
Oregon,6,56.4
Oregon,7,64.19
Oregon,8,67.77000000000001
Oregon,9,62.96666666666667
Oregon,10,53.833333333333336
Oregon,11,44.17777777777778
Oregon,12,35.97777777777778
Pennsylvania,1,29.939999999999998
Pennsylvania,2,27.45
Pennsylvania,3,32.61
Pennsylvania,4,42.260000000000005
Pennsylvania,5,53.75
Pennsylvania,6,63.279999999999994
Pennsylvania,7,69.57000000000001
Pennsylvania,8,71.03999999999999
Pennsylvania,9,67.13333333333334
Pennsylvania,10,58.955555555555556
Pennsylvania,11,46.733333333333334
Pennsylvania,12,36.71111111111111
Rhode Island,1,32.97
Rhode Island,2,30.47
Rhode Island,3,34.35
Rhode Island,4,42.519999999999996
Rhode Island,5,52.989999999999995
Rhode Island,6,62.67999999999999
Rhode Island,7,70.24
Rhode Island,8,72.92
Rhode Island,9,68.68888888888888
Rhode Island,10,60.27777777777778
Rhode Island,11,49.24444444444444
Rhode Island,12,39.644444444444446
South Carolina,1,48.019999999999996
South Carolina,2,47.739999999999995
South Carolina,3,52.620000000000005
South Carolina,4,59.14
South Carolina,5,67.11
South Carolina,6,74.66
South Carolina,7,79.55
South Carolina,8,80.25
South Carolina,9,77.48888888888888
South Carolina,10,70.6888888888889
South Carolina,11,59.833333333333336
South Carolina,12,51.96666666666667
South Dakota,1,21.009999999999998
South Dakota,2,19.5
South Dakota,3,26.410000000000004
South Dakota,4,38.160000000000004
South Dakota,5,49.06
South Dakota,6,61.83
South Dakota,7,70.58
South Dakota,8,71.76
South Dakota,9,66.6
South Dakota,10,54.87777777777777
South Dakota,11,40.53333333333333
South Dakota,12,28.255555555555553
Tennessee,1,40.769999999999996
Tennessee,2,39.85
Tennessee,3,45.82
Tennessee,4,53.779999999999994
Tennessee,5,62.510000000000005
Tennessee,6,70.96000000000001
Tennessee,7,76.22
Tennessee,8,76.92
Tennessee,9,73.98888888888888
Tennessee,10,66.52222222222223
Tennessee,11,54.5
Tennessee,12,45.67777777777778
Texas,1,48.53
Texas,2,48.62
Texas,3,54.71
Texas,4,62.2
Texas,5,69.42999999999999
Texas,6,77.21000000000001
Texas,7,82.27000000000001
Texas,8,83.28
Texas,9,80.24444444444445
Texas,10,72.61111111111111
Texas,11,61.94444444444444
Texas,12,53.166666666666664
Utah,1,28.160000000000004
Utah,2,30.26
Utah,3,36.8
Utah,4,44.11
Utah,5,51.370000000000005
Utah,6,61.96
Utah,7,71.28999999999999
Utah,8,72.91
Utah,9,67.42222222222222
Utah,10,56.46666666666667
Utah,11,44.21111111111111
Utah,12,33.577777777777776
Vermont,1,21.630000000000003
Vermont,2,18.869999999999997
Vermont,3,23.77
Vermont,4,34.06
Vermont,5,47.38
Vermont,6,58.07000000000001
Vermont,7,64.72
Vermont,8,66.82000000000001
Vermont,9,62.36666666666666
Vermont,10,53.5
Vermont,11,40.96666666666667
Vermont,12,29.599999999999998
Virginia,1,38.42
Virginia,2,37.339999999999996
Virginia,3,42.53
Virginia,4,50.660000000000004
Virginia,5,60.160000000000004
Virginia,6,68.39
Virginia,7,74.15
Virginia,8,75.25
Virginia,9,71.69999999999999
Virginia,10,64.21111111111111
Virginia,11,52.599999999999994
Virginia,12,43.68888888888889
Washington,1,31.919999999999998
Washington,2,33.01
Washington,3,36.760000000000005
Washington,4,42.87
Washington,5,49.86
Washington,6,57.02
Washington,7,63.42999999999999
Washington,8,66.86
Washington,9,62.41111111111112
Washington,10,52.977777777777774
Washington,11,42.922222222222224
Washington,12,34.63333333333333
West Virginia,1,34.410000000000004
West Virginia,2,32.769999999999996
West Virginia,3,38.43
West Virginia,4,47.18
West Virginia,5,57.15
West Virginia,6,65.52000000000001
West Virginia,7,70.88
West Virginia,8,72.12
West Virginia,9,69.04444444444444
West Virginia,10,61.388888888888886
West Virginia,11,49.31111111111111
West Virginia,12,40.2
Wisconsin,1,19.03
Wisconsin,2,15.459999999999999
Wisconsin,3,22.79
Wisconsin,4,35.55
Wisconsin,5,48.42
Wisconsin,6,60.65
Wisconsin,7,67.54
Wisconsin,8,68.34
Wisconsin,9,64.22222222222223
Wisconsin,10,54.18888888888889
Wisconsin,11,40.06666666666667
Wisconsin,12,27.733333333333334
Wyoming,1,22.380000000000003
Wyoming,2,22.419999999999998
Wyoming,3,27.7
Wyoming,4,36.03
Wyoming,5,43.89
Wyoming,6,54.61
Wyoming,7,63.85
Wyoming,8,66.02000000000001
Wyoming,9,60.56666666666667
Wyoming,10,49.577777777777776
Wyoming,11,37.28888888888889
Wyoming,12,27.11111111111111
