City,State,County
Elgin,IL,kane
Carlsbad,CA,san diego
Odessa,TX,midland
Odessa,TX,ector
Waterbury,CT,new haven
Springfield,IL,sangamon
League City,TX,harris
League City,TX,galveston
Downey,CA,los angeles
Gresham,OR,multnomah
High Point,NC,guilford
High Point,NC,forsyth
High Point,NC,davidson
High Point,NC,randolph
Broken Arrow,OK,wagoner
Broken Arrow,OK,tulsa
Peoria,IL,peoria
Lansing,MI,ingham
Lansing,MI,eaton
Lakeland,FL,polk
Pompano Beach,FL,broward
Costa Mesa,CA,orange
Pueblo,CO,pueblo
Lewisville,TX,denton
Lewisville,TX,dallas
Miami Gardens,FL,miami-dade
Las Cruces,NM,doña ana
Sugar Land,TX,fort bend
Murrieta,CA,riverside
Ventura,CA,ventura
Everett,WA,snohomish
Temecula,CA,riverside
Dearborn,MI,wayne
Santa Maria,CA,santa barbara
West Covina,CA,los angeles
El Monte,CA,los angeles
Greeley,CO,weld
Sparks,NV,washoe
Centennial,CO,arapahoe
Boulder,CO,boulder
Sandy Springs,GA,fulton
Inglewood,CA,los angeles
Edison,NJ,middlesex
South Fulton,GA,fulton
Green Bay,WI,brown
Burbank,CA,los angeles
Renton,WA,king
Hillsboro,OR,washington
El Cajon,CA,san diego
Tyler,TX,smith
Davie,FL,broward
San Mateo,CA,san mateo
Brockton,MA,plymouth
Concord,NC,cabarrus
Jurupa Valley,CA,riverside
Daly City,CA,san mateo
Allen,TX,collin
Rio Rancho,NM,bernalillo
Rio Rancho,NM,sandoval
Rialto,CA,san bernardino
Woodbridge,NJ,middlesex
South Bend,IN,st. joseph
Spokane Valley,WA,spokane
Norwalk,CA,los angeles
Menifee,CA,riverside
Vacaville,CA,solano
Wichita Falls,TX,wichita
Davenport,IA,scott
Quincy,MA,norfolk
Chico,CA,butte
Lynn,MA,essex
Lees Summit,MO,jackson
Lees Summit,MO,cass
New Bedford,MA,bristol
Federal Way,WA,king
Clinton,MI,macomb
Edinburg,TX,hidalgo
Nampa,ID,canyon
Roanoke,VA,roanoke
Kenosha,WI,kenosha
San Angelo,TX,tom green
Hesperia,CA,san bernardino
Carmel,IN,hamilton
Tuscaloosa,AL,tuscaloosa
Albany,NY,albany
Bend,OR,deschutes
Fishers,IN,hamilton
Longmont,CO,weld
Longmont,CO,boulder
Canton,MI,wayne
Vista,CA,san diego
Orem,UT,utah
Portsmouth,VA,portsmouth
Beaverton,OR,washington
Boca Raton,FL,palm beach
Sunrise,FL,broward
Yakima,WA,yakima
Sandy,UT,salt lake
Compton,CA,los angeles
Carson,CA,los angeles
Yuma,AZ,yuma
Livonia,MI,wayne
Toms River,NJ,ocean
St George,UT,washington
Goodyear,AZ,maricopa
Reading,PA,berks
Lawrence,KS,douglas
San Marcos,CA,san diego
Erie,PA,erie
Asheville,NC,buncombe
Edmond,OK,oklahoma
Suffolk,VA,suffolk
Fall River,MA,bristol
Fayetteville,AR,washington
Deltona,FL,volusia
Mission Viejo,CA,orange
Redding,CA,shasta
Santa Monica,CA,los angeles
Tracy,CA,san joaquin
Roswell,GA,fulton
South Gate,CA,los angeles
Hoover,AL,shelby
Hoover,AL,jefferson
Hamilton,NJ,mercer
Kirkland,WA,king
Plantation,FL,broward
Buckeye,AZ,maricopa
Bellingham,WA,whatcom
Chino,CA,san bernardino
Nashua,NH,hillsborough
OFallon,MO,st. charles
Norwalk,CT,fairfield
San Leandro,CA,alameda
Westminster,CA,orange
Trenton,NJ,mercer
Mount Pleasant,SC,charleston
New Braunfels,TX,comal
New Braunfels,TX,guadalupe
Lawton,OK,comanche
Clifton,NJ,passaic
Bloomington,MN,hennepin
Conroe,TX,montgomery
Hemet,CA,riverside
Avondale,AZ,maricopa
Waukegan,IL,lake
Palm Coast,FL,flagler
Lawrence,MA,essex
Fort Smith,AR,sebastian
Indio,CA,riverside
Newton,MA,middlesex
Santa Barbara,CA,santa barbara
Champaign,IL,champaign
Hawthorne,CA,los angeles
Livermore,CA,alameda
Citrus Heights,CA,sacramento
Greenville,NC,pitt
Santa Fe,NM,santa fe
Ogden,UT,weber
Whittier,CA,los angeles
Troy,MI,oakland
Auburn,WA,king
Auburn,WA,pierce
Deerfield Beach,FL,broward
Duluth,MN,st. louis
Danbury,CT,fairfield
Brooklyn Park,MN,hennepin
Fort Myers,FL,lee
Merced,CA,merced
Lake Forest,CA,orange
Medford,OR,jackson
Sioux City,IA,woodbury
Mission,TX,hidalgo
Westland,MI,wayne
Cicero,IL,cook
Newport Beach,CA,orange
Lake Charles,LA,calcasieu
Melbourne,FL,brevard
San Ramon,CA,contra costa
Redwood City,CA,san mateo
Springdale,AR,benton
Springdale,AR,washington
Buena Park,CA,orange
Farmington Hills,MI,oakland
Bryan,TX,brazos
Kennewick,WA,benton
Baytown,TX,harris
Baytown,TX,chambers
Manteca,CA,san joaquin
Franklin,TN,williamson
Cranston,RI,providence
Miami Beach,FL,miami-dade
Alhambra,CA,los angeles
Warwick,RI,kent
Lakewood,CA,los angeles
Largo,FL,pinellas
Johns Creek,GA,fulton
Mountain View,CA,santa clara
Temple,TX,bell
Layton,UT,davis
Longview,TX,gregg
Longview,TX,harrison
Flint,MI,genesee
Parma,OH,cuyahoga
Somerville,MA,middlesex
Plymouth,MN,hennepin
Homestead,FL,miami-dade
Folsom,CA,sacramento
Gastonia,NC,gaston
Boynton Beach,FL,palm beach
Warner Robins,GA,houston
Warner Robins,GA,peach
Tustin,CA,orange
Milpitas,CA,santa clara
Pleasanton,CA,alameda
New Rochelle,NY,westchester
Pharr,TX,hidalgo
Shelby,MI,macomb
Rancho Cordova,CA,sacramento
Napa,CA,napa
Kissimmee,FL,osceola
Bellflower,CA,los angeles
Bloomington,IN,monroe
Upland,CA,san bernardino
Lynchburg,VA,lynchburg
Schaumburg,IL,cook
Schaumburg,IL,dupage
Perris,CA,riverside
Bloomington,IL,mclean
Jonesboro,AR,craighead
Chino Hills,CA,san bernardino
Alameda,CA,alameda
Frederick,MD,frederick
Evanston,IL,cook
Hammond,IN,lake
Racine,WI,racine
Arlington Heights,IL,lake
Arlington Heights,IL,cook
Cedar Park,TX,williamson
Cedar Park,TX,travis
South Jordan,UT,salt lake
Pasco,WA,franklin
Flagstaff,AZ,coconino
Southfield,MI,oakland
Wyoming,MI,kent
Pittsburg,CA,contra costa
Loveland,CO,larimer
Scranton,PA,lackawanna
Rochester Hills,MI,oakland
Auburn,AL,lee
Flower Mound,TX,denton
Flower Mound,TX,tarrant
Lehi,UT,utah
Doral,FL,miami-dade
Apple Valley,CA,san bernardino
Bethlehem,PA,lehigh
Bethlehem,PA,northampton
Appleton,WI,winnebago
Appleton,WI,outagamie
Appleton,WI,calumet
Pawtucket,RI,providence
Woodbury,MN,washington
Iowa City,IA,johnson
North Port,FL,sarasota
Rapid City,SD,pennington
Cherry Hill,NJ,camden
Lauderhill,FL,broward
Rock Hill,SC,york
Missouri City,TX,harris
Missouri City,TX,fort bend
New Britain,CT,hartford
Broomfield,CO,broomfield
Bolingbrook,IL,dupage
Bolingbrook,IL,will
Mount Vernon,NY,westchester
Bismarck,ND,burleigh
Brick,NJ,ocean
Kalamazoo,MI,kalamazoo
Missoula,MT,missoula
Redmond,WA,king
Redlands,CA,san bernardino
Castle Rock,CO,douglas
Gulfport,MS,harrison
Turlock,CA,stanislaus
Jacksonville,NC,onslow
Daytona Beach,FL,volusia
Mansfield,TX,johnson
Mansfield,TX,tarrant
Mansfield,TX,ellis
Dublin,CA,alameda
St Joseph,MO,buchanan
Framingham,MA,middlesex
Bowling Green,KY,warren
Baldwin Park,CA,los angeles
Tamarac,FL,broward
Harlingen,TX,cameron
Camden,NJ,camden
Bayonne,NJ,hudson
Rocklin,CA,placer
Redondo Beach,CA,los angeles
Waukesha,WI,waukesha
Dothan,AL,dale
Dothan,AL,henry
Dothan,AL,houston
Johnson City,TN,sullivan
Johnson City,TN,washington
Johnson City,TN,carter
Wilmington,DE,new castle
Canton,OH,stark
Lafayette,IN,tippecanoe
Camarillo,CA,ventura
Greenville,SC,greenville
Marysville,WA,snohomish
Waterford,MI,oakland
Passaic,NJ,passaic
Decatur,IL,macon
St Charles,MO,st. charles
Lake Elsinore,CA,riverside
Maple Grove,MN,hennepin
Blaine,MN,ramsey
Blaine,MN,anoka
Union City,CA,alameda
Walnut Creek,CA,contra costa
Yuba City,CA,sutter
North Richland Hills,TX,tarrant
Rogers,AR,benton
Eastvale,CA,riverside
Gaithersburg,MD,montgomery
Albany,GA,dougherty
East Orange,NJ,essex
Noblesville,IN,hamilton
Lakeville,MN,dakota
Eau Claire,WI,eau claire
Eau Claire,WI,chippewa
Gary,IN,lake
St Cloud,MN,benton
St Cloud,MN,sherburne
St Cloud,MN,stearns
Tulare,CA,tulare
Eagan,MN,dakota
West Des Moines,IA,polk
West Des Moines,IA,warren
West Des Moines,IA,dallas
Union City,NJ,hudson
Palo Alto,CA,santa clara
Portland,ME,cumberland
Franklin,NJ,somerset
Yorba Linda,CA,orange
Jackson,TN,madison
Weston,FL,broward
Palatine,IL,cook
Ankeny,IA,polk
Skokie,IL,cook
Haverhill,MA,essex
San Marcos,TX,caldwell
San Marcos,TX,guadalupe
San Marcos,TX,hays
Sammamish,WA,king
Waterloo,IA,black hawk
Shawnee,KS,johnson
Lynwood,CA,los angeles
Georgetown,TX,williamson
Rockville,MD,montgomery
Middletown,NJ,monmouth
Schenectady,NY,schenectady
Old Bridge,NJ,middlesex
Davis,CA,yolo
Delray Beach,FL,palm beach
Oshkosh,WI,winnebago
Kenner,LA,jefferson
Ames,IA,story
Lodi,CA,san joaquin
Malden,MA,middlesex
Novi,MI,oakland
Madera,CA,madera
South San Francisco,CA,san mateo
Gloucester,NJ,camden
West Bloomfield,MI,oakland
Alpharetta,GA,fulton
Janesville,WI,rock
Grand Junction,CO,mesa
Victoria,TX,victoria
Utica,NY,oneida
Waltham,MA,middlesex
Lorain,OH,lorain
Muncie,IN,delaware
Pflugerville,TX,williamson
Pflugerville,TX,travis
Cheyenne,WY,laramie
Idaho Falls,ID,bonneville
North Little Rock,AR,pulaski
Laguna Niguel,CA,orange
Burnsville,MN,dakota
San Clemente,CA,orange
Brentwood,CA,contra costa
Eden Prairie,MN,hennepin
Bellevue,NE,sarpy
Conway,AR,faulkner
West Hartford,CT,hartford
Greenwood,IN,johnson
Lakewood,WA,pierce
Coon Rapids,MN,anoka
Ocala,FL,marion
Greenwich,CT,fairfield
Taylor,MI,wayne
Hamilton,OH,butler
Millcreek,UT,salt lake
North Bergen,NJ,hudson
Dearborn Heights,MI,wayne
Brookline,MA,norfolk
La Habra,CA,orange
Santa Cruz,CA,santa cruz
Council Bluffs,IA,pottawattamie
Moore,OK,cleveland
Bossier City,LA,bossier
Montebello,CA,los angeles
Porterville,CA,tulare
Port Orange,FL,volusia
Rowlett,TX,rockwall
Rowlett,TX,dallas
Commerce City,CO,adams
Revere,MA,suffolk
Pico Rivera,CA,los angeles
Encinitas,CA,san diego
Chapel Hill,NC,durham
Chapel Hill,NC,orange
Springfield,OR,lane
Hendersonville,TN,sumner
Wellington,FL,palm beach
Pontiac,MI,oakland
Fairfield,CT,fairfield
Huntersville,NC,mecklenburg
San Rafael,CA,marin
Plymouth,MA,plymouth
Irvington,NJ,essex
Hamden,CT,new haven
La Mesa,CA,san diego
Monterey Park,CA,los angeles
Sanford,FL,seminole
Jupiter,FL,palm beach
Euless,TX,tarrant
Woodland,CA,yolo
Gardena,CA,los angeles
Marietta,GA,cobb
Meriden,CT,new haven
Bristol,CT,hartford
Piscataway,NJ,middlesex
Vineland,NJ,cumberland
Des Plaines,IL,cook
Richland,WA,benton
Taylorsville,UT,salt lake
Great Falls,MT,cascade
Hoboken,NJ,hudson
Cupertino,CA,santa clara
West Allis,WI,milwaukee
North Miami,FL,miami-dade
Owensboro,KY,daviess
Youngstown,OH,mahoning
Youngstown,OH,trumbull
Santee,CA,san diego
Caldwell,ID,canyon
Corvallis,OR,benton
Petaluma,CA,sonoma
Union,NJ,union
Manchester,CT,hartford
Dubuque,IA,dubuque
Medford,MA,middlesex
Kokomo,IN,howard
White Plains,NY,westchester
Gilroy,CA,santa clara
Queen Creek,AZ,maricopa
Queen Creek,AZ,pinal
Taunton,MA,bristol
Leander,TX,williamson
Leander,TX,travis
Stonecrest,GA,dekalb
Palm Beach Gardens,FL,palm beach
Hempstead,NY,nassau
Grand Forks,ND,grand forks
Casper,WY,natrona
St Cloud,FL,osceola
St Clair Shores,MI,macomb
Apex,NC,wake
Margate,FL,broward
Orland Park,IL,cook
Orland Park,IL,will
Springfield,OH,clark
Carson City,NV,carson
Shoreline,WA,king
Blue Springs,MO,jackson
Jackson,NJ,ocean
Parker,CO,douglas
Midwest City,OK,oklahoma
Terre Haute,IN,vigo
Oak Lawn,IL,cook
Bowie,MD,prince george's
Royal Oak,MI,oakland
Maricopa,AZ,pinal
Lancaster,PA,lancaster
Hanford,CA,kings
Decatur,AL,morgan
Decatur,AL,limestone
Kettering,OH,greene
Kettering,OH,montgomery
Coconut Creek,FL,broward
Bartlett,TN,shelby
St Peters,MO,st. charles
Wylie,TX,rockwall
Wylie,TX,dallas
Wylie,TX,collin
Weymouth,MA,norfolk
Lenexa,KS,johnson
Burlington,NC,alamance
Burlington,NC,guilford
Berwyn,IL,cook
Lake Havasu City,AZ,mohave
Fountain Valley,CA,orange
Highland,CA,san bernardino
Madison,AL,limestone
Madison,AL,madison
Mount Prospect,IL,cook
Arcadia,CA,los angeles
Albany,OR,benton
Albany,OR,linn
Apple Valley,MN,dakota
Pocatello,ID,bannock
Pocatello,ID,power
National City,CA,san diego
Parsippany-Troy Hills,NJ,morris
DeSoto,TX,dallas
Port Arthur,TX,jefferson
Port Arthur,TX,orange
Tinley Park,IL,cook
Tinley Park,IL,will
Bradenton,FL,manatee
Ypsilanti,MI,washtenaw
Smyrna,GA,cobb
Olympia,WA,thurston
West Haven,CT,new haven
Chicopee,MA,hampden
Kingsport,TN,sullivan
Kingsport,TN,hawkins
Perth Amboy,NJ,middlesex
Valdosta,GA,lowndes
New Brunswick,NJ,middlesex
Brookhaven,GA,dekalb
Herriman,UT,salt lake
Diamond Bar,CA,los angeles
Huntington Park,CA,los angeles
Apopka,FL,orange
Sarasota,FL,sarasota
Wayne,NJ,passaic
Anderson,IN,madison
Southaven,MS,desoto
Coeur dAlene,ID,kootenai
Plainfield,NJ,union
Oak Park,IL,cook
Yucaipa,CA,san bernardino
Tigard,OR,washington
Peabody,MA,essex
Rocky Mount,NC,nash
Rocky Mount,NC,edgecombe
Pensacola,FL,escambia
Kentwood,MI,kent
Bentonville,AR,benton
Manhattan,KS,riley
Manhattan,KS,pottawatomie
Georgetown,MI,ottawa
Wheaton,IL,dupage
Elkhart,IN,elkhart
West Sacramento,CA,yolo
Colton,CA,san bernardino
San Jacinto,CA,riverside
Minnetonka,MN,hennepin
Paramount,CA,los angeles
Galveston,TX,galveston
Casa Grande,AZ,pinal
Bonita Springs,FL,lee
Howell,NJ,monmouth
Lacey,WA,thurston
Edina,MN,hennepin
Bozeman,MT,gallatin
Novato,CA,marin
Grand Island,NE,hall
Kannapolis,NC,rowan
Kannapolis,NC,cabarrus
Bloomfield,NJ,essex
Pinellas Park,FL,pinellas
Smyrna,TN,rutherford
Methuen,MA,essex
Beaumont,CA,riverside
West New York,NJ,hudson
Logan,UT,cache
Normal,IL,mclean
Battle Creek,MI,calhoun
La Crosse,WI,la crosse
Elyria,OH,lorain
Watsonville,CA,santa cruz
Glendora,CA,los angeles
Florissant,MO,st. louis
Hoffman Estates,IL,cook
Hoffman Estates,IL,kane
Stratford,CT,fairfield
Aliso Viejo,CA,orange
Burien,WA,king
Marana,AZ,pima
Marana,AZ,pinal
Texas City,TX,galveston
Texas City,TX,chambers
Placentia,CA,orange
Harrisonburg,VA,harrisonburg
Twin Falls,ID,twin falls
Joplin,MO,jasper
Joplin,MO,newton
Dunwoody,GA,dekalb
Cathedral City,CA,riverside
Delano,CA,kern
Troy,NY,rensselaer
Collierville,TN,shelby
Enid,OK,garfield
Covina,CA,los angeles
Rosemead,CA,los angeles
Palm Desert,CA,riverside
Cuyahoga Falls,OH,summit
Mishawaka,IN,st. joseph
East Hartford,CT,hartford
Draper,UT,utah
Draper,UT,salt lake
Middletown,OH,butler
Middletown,OH,warren
Lakewood,OH,cuyahoga
East Honolulu,HI,honolulu
Summerville,SC,charleston
Summerville,SC,dorchester
Summerville,SC,berkeley
Murray,UT,salt lake
Grapevine,TX,denton
Grapevine,TX,tarrant
Grapevine,TX,dallas
Milford,CT,new haven
Columbus,IN,bartholomew
Downers Grove,IL,dupage
Mooresville,NC,iredell
Cypress,CA,orange
Harrisburg,PA,dauphin
St Louis Park,MN,hennepin
Spring Hill,TN,williamson
Spring Hill,TN,maury
Azusa,CA,los angeles
Chesterfield,MO,st. louis
Newark,OH,licking
Sheboygan,WI,sheboygan
Bedford,TX,tarrant
Lincoln,CA,placer
East Brunswick,NJ,middlesex
Euclid,OH,cuyahoga
Cerritos,CA,los angeles
Redford,MI,wayne
Biloxi,MS,harrison
Jeffersonville,IN,clark
Lawrence,IN,marion
Dublin,OH,delaware
Dublin,OH,franklin
Dublin,OH,union
Ceres,CA,stanislaus
Coral Gables,FL,miami-dade
Winter Haven,FL,polk
Cedar Hill,TX,dallas
Cedar Hill,TX,ellis
Everett,MA,middlesex
Barnstable,MA,barnstable
Portage,MI,kalamazoo
Charleston,WV,kanawha
West Orange,NJ,essex
Poway,CA,san diego
Titusville,FL,brevard
Hattiesburg,MS,lamar
Hattiesburg,MS,forrest
Glenview,IL,cook
Washington,NJ,gloucester
Niagara Falls,NY,niagara
Monroe,NJ,middlesex
Roswell,NM,chaves
Stillwater,OK,payne
Wauwatosa,WI,milwaukee
Minot,ND,ward
Leesburg,VA,loudoun
Bothell,WA,king
Bothell,WA,snohomish
La Mirada,CA,los angeles
Binghamton,NY,broome
Rancho Santa Margarita,CA,orange
Wilson,NC,wilson
Egg Harbor,NJ,atlantic
East Lansing,MI,ingham
East Lansing,MI,clinton
Middletown,CT,middlesex
Roseville,MI,macomb
Monroe,LA,ouachita
Burleson,TX,johnson
Burleson,TX,tarrant
Wake Forest,NC,wake
Wake Forest,NC,franklin
Mansfield,OH,richland
Newark,CA,alameda
Mentor,OH,lake
Cleveland,TN,bradley
Brea,CA,orange
Fort Pierce,FL,st. lucie
Ocoee,FL,orange
Rockwall,TX,rockwall
East Providence,RI,providence
Oro Valley,AZ,pima
San Luis Obispo,CA,san luis obispo
South Brunswick,NJ,middlesex
Winter Garden,FL,orange
Salina,KS,saline
Huntington,WV,wayne
Huntington,WV,cabell
Evesham,NJ,burlington
Prescott Valley,AZ,yavapai
Farmington,NM,san juan
Charlottesville,VA,charlottesville
Beavercreek,OH,greene
Strongsville,OH,cuyahoga
Attleboro,MA,bristol
Little Elm,TX,denton
Westfield,IN,hamilton
Arlington,MA,middlesex
Altamonte Springs,FL,seminole
Haltom City,TX,tarrant
Hackensack,NJ,bergen
Bridgewater,NJ,somerset
Goose Creek,SC,berkeley
Huntsville,TX,walker
Prescott,AZ,yavapai
Elmhurst,IL,cook
Elmhurst,IL,dupage
Keller,TX,tarrant
Bountiful,UT,davis
Kyle,TX,hays
Littleton,CO,douglas
Littleton,CO,jefferson
Littleton,CO,arapahoe
Urbandale,IA,polk
Urbandale,IA,dallas
Los Banos,CA,merced
Morgan Hill,CA,santa clara
Cutler Bay,FL,miami-dade
