Abilene, TX: 75
Olympia, WA: 75
Omaha, NE: 70
Orlando, FL: 60
Oshkosh, WI: 75
Owensboro, KY: 65
Pensacola, FL: 65
Peoria, IL: 55
Philadelphia, PA: 35
Phoenix, AZ: 55
Pine Bluff, AR: 40
Pittsburgh, PA: 60
Pittsfield, MA: 75
Pocatello, ID: 75
Portland, ME: 80
Portland, OR: 70
Portsmouth, OH: 45
Prescott, AZ: 75
Providence, RI: 60
Provo, UT: 85
Pueblo, CO: 45
Quincy, IL: 55
Racine, WI: 50
Rapid City, SD: 70
Reading, PA: 40
Redding, CA: 55
Reno, NV: 50
Richmond, IN: 60
Richmond, VA: 55
Richmond, KY: 65
Riverside, CA: 50
Roanoke, VA: 55
Rochester, MN: 75
Rochester, NY: 50
Rockford, IL: 45
Rocky Mount, NC: 50
Roswell, NM: 65
Sacramento, CA: 55
Saginaw, MI: 45
Salem, OR: 60
Salinas, CA: 50
Salt Lake City, UT: 75
San Antonio, TX: 50
San Diego, CA: 75
San Francisco, CA: 65
San Jose, CA: 75
San Luis Obispo, CA: 75
Santa Cruz, CA: 60
Santa Fe, NM: 70
Santa Rosa, CA: 65
Savannah, GA: 50
Scranton, PA: 50
Seattle, WA: 55
Shawnee, OK: 55
Sheboygan, WI: 70
Shelton, WA: 65
Shreveport, LA: 45
Sierra Vista, AZ: 70
Sioux City, IA: 65
Sioux Falls, SD: 75
South Bend, IN: 45
Spokane, WA: 55
Springfield, IL: 60
Springfield, MA: 45
Springfield, MO: 55
Springfield, OH: 50
St. Louis, MO: 35
State College, PA: 75
Stillwater, OK: 70
Sumter, SC: 45
Syracuse, NY: 50
Tallahassee, FL: 55
Tampa, FL: 70
Terre Haute, IN: 45
Topeka, KS: 50
Trenton, NJ: 40
Tucson, AZ: 50
Tulsa, OK: 55
Tuscaloosa, AL: 50
Twin Falls, ID: 65
Tyler, TX: 60
Utica, NY: 50
Valdosta, GA: 45
Vallejo, CA: 40
Vineland, NJ: 50
Virginia Beach, VA: 75
Visalia, CA: 45
Waco, TX: 55
Warner Robins, GA: 60
Waterloo, IA: 55
Wichita Falls, TX: 50
Wichita, KS: 55
Wilmington, NC: 55
Wilson, NC: 50
Winston-Salem, NC: 55
Worcester, MA: 50
Yakima, WA: 45
York, PA: 50
Youngstown, OH: 40
Yuba City, CA: 50
Yuma, AZ: 55
Bloomington, IL: 60
Lafayette, IN: 55
Los Angeles, CA: 45
Sarasota, FL: 70
Salem, OH: 60
Santa Maria, CA: 55
Honolulu, HI: 60
Stamford, CT: 70
Fort Myers, FL: 65
Dallas, TX: 45
Davenport, IA: 50
Daytona Beach, FL: 50
Hagerstown, MD: 50
Logan, UT: 70
Miami, FL: 45
Minneapolis, MN: 55
Ventura, CA: 75
Melbourne, FL: 70
Victoria, TX: 55
