state,average_temp_january,average_temp_february,average_temp_march,average_temp_april,average_temp_may,average_temp_june,average_temp_july,average_temp_august,average_temp_september,average_temp_october,average_temp_november,average_temp_december
New Mexico,36.3,37.6,43.29,50.24,57.54,67.05,73.72,73.69,69.82222222222222,61.37777777777777,50.37777777777777,41.06666666666667
New York,25.51,22.45,27.27,37.22,49.98,60.42999999999999,66.99,68.94,64.69999999999999,56.13333333333333,43.91111111111111,33.166666666666664
North Carolina,43.47,42.73,47.6,54.8,63.46,71.31,76.52000000000001,77.38,74.32222222222222,67.27777777777777,56.15555555555555,48.04444444444445
North Dakota,14.19,11.92,19.39,32.97,46.21,59.65,67.67999999999999,68.85,63.29999999999999,51.18888888888889,36.01111111111111,22.366666666666667
Ohio,31.62,29.04,34.980000000000004,45.16,56.370000000000005,66.25,71.91,72.84,69.56666666666666,61.35555555555556,48.55555555555556,38.25555555555556
Oklahoma,40.260000000000005,39.62,46.07,55.24,63.52,73.13,79.96000000000001,81.06,77.55555555555556,68.47777777777777,55.75555555555556,45.67777777777778
Oregon,33.230000000000004,34.8,38.03,42.93,48.9,56.4,64.19,67.77000000000001,62.96666666666667,53.833333333333336,44.17777777777778,35.97777777777778
Pennsylvania,29.94,27.45,32.61,42.260000000000005,53.75,63.28,69.57000000000001,71.03999999999999,67.13333333333334,58.95555555555556,46.73333333333333,36.71111111111111
Rhode Island,32.97,30.47,34.35,42.52,52.99,62.67999999999999,70.24,72.92,68.68888888888888,60.27777777777778,49.24444444444444,39.644444444444446
South Carolina,48.02,47.74,52.620000000000005,59.14,67.11,74.66,79.55,80.25,77.48888888888888,70.6888888888889,59.833333333333336,51.96666666666667
South Dakota,21.01,19.5,26.410000000000004,38.16,49.06,61.83,70.58,71.76,66.6,54.87777777777777,40.53333333333333,28.255555555555556
Tennessee,40.77,39.85,45.82,53.78,62.510000000000005,70.96000000000001,76.22,76.92,73.98888888888888,66.52222222222223,54.5,45.67777777777778
Texas,48.53,48.62,54.71,62.2,69.42999999999999,77.21000000000001,82.27000000000001,83.28,80.24444444444445,72.61111111111111,61.94444444444444,53.16666666666666
Utah,28.160000000000004,30.26,36.8,44.11,51.370000000000005,61.96,71.28999999999999,72.91,67.42222222222222,56.46666666666667,44.21111111111111,33.577777777777776
Vermont,21.630000000000003,18.87,23.77,34.06,47.38,58.07000000000001,64.72,66.82000000000001,62.36666666666666,53.5,40.96666666666667,29.6
Virginia,38.42,37.34,42.53,50.66,60.16,68.39,74.15,75.25,71.69999999999999,64.21111111111111,52.6,43.68888888888889
Washington,31.92,33.01,36.760000000000005,42.87,49.86,57.02,63.42999999999999,66.86,62.41111111111112,52.977777777777774,42.922222222222224,34.63333333333333
West Virginia,34.410000000000004,32.77,38.43,47.18,57.15,65.52000000000001,70.88,72.12,69.04444444444444,61.388888888888886,49.31111111111111,40.2
Wisconsin,19.03,15.46,22.79,35.55,48.42,60.65,67.54,68.34,64.22222222222223,54.18888888888889,40.06666666666667,27.73333333333333
Wyoming,22.380000000000003,22.42,27.7,36.03,43.89,54.61,63.85,66.02000000000001,60.56666666666667,49.577777777777776,37.28888888888889,27.11111111111111
Hawaii,73.5,73.6,73.9,75.5,76.5,78.0,79.0,80.0,79.0,78.0,76.0,74.0
Alaska,16.5,19.0,24.0,34.5,45.0,55.0,60.0,59.0,50.0,38.5,25.0,17.0
District of Columbia,34.5,37.0,45.0,54.0,63.0,70.5,76.0,75.5,68.0,56.5,47.0,38.0
